"GO","GO_definition","GO_ontology","GO_term"
"GO:0042168","The chemical reactions and pathways involving heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.","BP","heme metabolic process"
"GO:0070481","The chemical reactions and pathways resulting in the breakdown of the transcript body of a nuclear-transcribed mRNA that is lacking a stop codon.","BP","nuclear-transcribed mRNA catabolic process, non-stop decay"
"GO:0070966","The chemical reactions and pathways resulting in the breakdown of the transcript body of a nuclear-transcribed mRNA with stalls in translation elongation.","BP","nuclear-transcribed mRNA catabolic process, no-go decay"
"GO:0071025","The set of processes involved in identifying and degrading defective or aberrant RNAs.","BP","RNA surveillance"
"GO:0006744","The chemical reactions and pathways resulting in the formation of ubiquinone, a lipid-soluble electron-transporting coenzyme.","BP","ubiquinone biosynthetic process"
"GO:0102005",NA,NA,NA
"GO:0007263","Any intracellular signal transduction in which the signal is passed on within the cell via nitric oxide (NO). Includes synthesis of nitric oxide, receptors/sensors for nitric oxide (such as soluble guanylyl cyclase/sGC) and downstream effectors that further transmit the signal within the cell. Nitric oxide transmits its downstream effects through either cyclic GMP (cGMP)-dependent or independent mechanisms.","BP","nitric oxide mediated signal transduction"
"GO:0002223","Any series of molecular signals generated as a consequence of binding to a C-type lectin receptor capable of cellular activation.","BP","stimulatory C-type lectin receptor signaling pathway"
"GO:0005011","Combining with macrophage colony-stimulating factor (M-CSF) and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.","MF","macrophage colony-stimulating factor receptor activity"
"GO:0019955","Interacting selectively and non-covalently with a cytokine, any of a group of proteins that function to control the survival, growth and differentiation of tissues and cells, and which have autocrine and paracrine activity.","MF","cytokine binding"
"GO:0030316","The process in which a relatively unspecialized monocyte acquires the specialized features of an osteoclast. An osteoclast is a specialized phagocytic cell associated with the absorption and removal of the mineralized matrix of bone tissue.","BP","osteoclast differentiation"
"GO:0031529","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a ruffle, a projection at the leading edge of a crawling cell.","BP","ruffle organization"
"GO:0036006","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a macrophage colony-stimulating factor stimulus.","BP","cellular response to macrophage colony-stimulating factor stimulus"
"GO:0038145","A series of molecular signals initiated by the binding of the cytokine macrophage colony-stimulating factor (M-CSF) to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription.","BP","macrophage colony-stimulating factor signaling pathway"
"GO:0042531","Any process that activates or increases the frequency, rate or extent of the introduction of a phosphate group to a tyrosine residue of a STAT (Signal Transducer and Activator of Transcription) protein.","BP","positive regulation of tyrosine phosphorylation of STAT protein"
"GO:0045124","Any process that modulates the frequency, rate or extent of bone tissue loss (resorption).","BP","regulation of bone resorption"
"GO:0048015","A series of molecular signals in which a cell uses a phosphatidylinositol-mediated signaling to convert a signal into a response. Phosphatidylinositols include phosphatidylinositol (PtdIns) and its phosphorylated derivatives.","BP","phosphatidylinositol-mediated signaling"
"GO:0071345","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus.","BP","cellular response to cytokine stimulus"
"GO:2000249",NA,"BP","regulation of actin cytoskeleton reorganization"
"GO:0003958","Catalysis of the reaction: NADPH + H+ + n oxidized hemoprotein = NADP+ + n reduced hemoprotein.","MF","NADPH-hemoprotein reductase activity"
"GO:0090404","The region at growing end of the pollen tube cell, where polarized growth occurs.","CC","pollen tube tip"
"GO:0010977","Any process that decreases the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites).","BP","negative regulation of neuron projection development"
"GO:0030517","Any process that stops, prevents, or reduces the frequency, rate or extent of axon outgrowth.","BP","negative regulation of axon extension"
"GO:0030672","The lipid bilayer surrounding a synaptic vesicle.","CC","synaptic vesicle membrane"
"GO:0035374","Interacting selectively and non-covalently with chondroitin sulfate, a glycosaminoglycan made up of two alternating monosaccharides: D-glucuronic acid (GlcA) and N-acetyl-D-galactosamine (GalNAc).","MF","chondroitin sulfate binding"
"GO:0048671","Any process that stops, prevents, or reduces the frequency, rate or extent of collateral sprouting.","BP","negative regulation of collateral sprouting"
"GO:0048681","Any process that stops, prevents, or reduces the frequency, rate or extent of axon regeneration.","BP","negative regulation of axon regeneration"
"GO:0099061","The component of the postsynaptic density membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.","CC","integral component of postsynaptic density membrane"
"GO:0008840","Catalysis of the reaction: pyruvate + L-aspartate-4-semialdehyde = (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O.","MF","4-hydroxy-tetrahydrodipicolinate synthase activity"
"GO:0001555","The developmental growth process in which an oocyte irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present.","BP","oocyte growth"
"GO:0033148","Any process that activates or increases the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway.","BP","positive regulation of intracellular estrogen receptor signaling pathway"
"GO:0043627","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by an estrogen, C18 steroid hormones that can stimulate the development of female sexual characteristics.","BP","response to estrogen"
"GO:0010067","The formation of the primary meristem or meristematic tissue that gives rise to the primary vascular tissue.","BP","procambium histogenesis"
"GO:0008745","Catalysis of the hydrolysis of the link between N-acetylmuramoyl residues and L-amino acid residues in certain bacterial cell-wall glycopeptides.","MF","N-acetylmuramoyl-L-alanine amidase activity"
"GO:0009253","The chemical reactions and pathways resulting in the breakdown of peptidoglycans, any of a class of glycoconjugates found in bacterial cell walls.","BP","peptidoglycan catabolic process"
"GO:0030420","The process in which a naturally transformable bacterium acquires the ability to take up exogenous DNA. This term should be applied only to naturally transformable bacteria, and should not be used in the context of artificially induced bacterial transformation.","BP","establishment of competence for transformation"
"GO:0048476","An endodeoxyribonuclease complex that resolves the 4-way DNA intermediates of a Holliday junction into two separate duplex DNA molecules. Can be branch-migration associated.","CC","Holliday junction resolvase complex"
"GO:0004370","Catalysis of the reaction: ATP + glycerol = sn-glycerol 3-phosphate + ADP + 2 H(+).","MF","glycerol kinase activity"
"GO:0004146","Catalysis of the reaction: 5,6,7,8-tetrahydrofolate + NADP+ = 7,8-dihydrofolate + NADPH + H+.","MF","dihydrofolate reductase activity"
"GO:0004799","Catalysis of the reaction: 5,10-methylenetetrahydrofolate + dUMP = 7,8-dihydrofolate + thymidylate.","MF","thymidylate synthase activity"
"GO:0006231","The chemical reactions and pathways resulting in the formation of dTMP, deoxyribosylthymine monophosphate (2'-deoxyribosylthymine 5'-phosphate).","BP","dTMP biosynthetic process"
"GO:0005225","Enables the transmembrane transfer of an anion by a volume-sensitive channel. An anion is a negatively charged ion. A volume-sensitive channel is a channel that responds to changes in the volume of a cell.","MF","volume-sensitive anion channel activity"
"GO:0034702","A protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective ion transport down its electrochemical gradient.","CC","ion channel complex"
"GO:0098656","The process in which an anion is transported across a membrane.","BP","anion transmembrane transport"
"GO:0050566","Catalysis of the reaction: L-glutamine + aspartyl-tRNA(Asn) + ATP = L-glutamate + asparaginyl-tRNA(Asn) + phosphate + ADP.","MF","asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity"
